,Senior Citizen,Partner,Dependents,Tenure,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Cluster
1639,Yes,No,No,17,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,Green
1644,No,No,No,34,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,Purple
1645,Yes,No,No,42,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.65,Purple
1647,No,Yes,Yes,11,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.5,Orange
1650,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,85.8,Orange
1651,Yes,No,No,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.1,Orange
1655,No,Yes,Yes,3,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.3,Green
1658,No,Yes,Yes,50,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),105.95,Purple
1662,No,No,No,5,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.75,Orange
1663,No,Yes,No,51,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,Purple
1664,No,No,No,46,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.05,Purple
1670,Yes,No,Yes,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.15,Green
1673,No,Yes,No,41,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.6,Purple
1675,No,No,No,29,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.9,Orange
1686,No,Yes,Yes,26,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,60.05,Green
1694,No,No,No,1,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,34.7,Green
1696,No,No,No,3,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,Orange
1701,No,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),102.45,Purple
1702,No,Yes,No,21,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.4,Orange
1704,No,No,Yes,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,Orange
1708,No,No,No,4,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.4,Orange
1721,No,No,No,9,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.25,Orange
1730,No,No,No,1,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.85,Green
1731,Yes,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,Orange
1734,No,No,No,9,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.4,Green
1736,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,Green
1739,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,Orange
1742,No,No,No,2,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.15,Orange
1747,No,Yes,Yes,3,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.75,Orange
1751,No,No,No,14,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.95,Orange
1770,Yes,No,No,41,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.2,Purple
1771,Yes,No,No,13,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.5,Orange
1772,No,No,No,2,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.0,Orange
1780,No,No,Yes,18,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.15,Green
1783,No,No,Yes,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,Orange
1784,No,No,No,4,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,Green
1786,No,No,No,38,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.25,Purple
1790,No,No,No,12,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),78.1,Orange
1795,No,Yes,No,19,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.65,Orange
1799,No,No,No,10,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,Orange
1807,No,No,No,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.35,Orange
1808,No,No,No,23,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.15,Orange
1809,Yes,Yes,No,32,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,Purple
1821,Yes,Yes,No,32,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.3,Purple
1822,No,No,Yes,31,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.55,Purple
1823,No,No,No,19,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.85,Orange
1832,Yes,Yes,No,57,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.85,Green
1834,Yes,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.1,Green
1836,No,No,No,24,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,Orange
1837,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,Green
1840,No,Yes,Yes,65,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),108.65,Purple
1849,No,No,No,10,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.55,Green
1851,No,Yes,No,2,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,Green
1852,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),46.2,Green
1853,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.15,Green
1854,Yes,No,No,1,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,43.3,Green
1856,Yes,No,No,38,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),57.15,Green
1858,No,Yes,No,19,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.2,Orange
1859,No,No,No,52,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.35,Purple
1861,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,Green
1867,No,No,No,3,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,83.75,Orange
1879,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.05,Orange
1880,No,No,No,2,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.0,Orange
1883,Yes,Yes,No,35,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.5,Purple
1887,No,No,No,16,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,72.65,Orange
1890,No,Yes,Yes,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.0,Green
1891,Yes,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.1,Green
1897,Yes,Yes,No,30,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.4,Green
1898,Yes,No,No,5,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,78.95,Orange
1904,No,No,No,56,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.45,Purple
1916,No,No,No,44,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,Purple
1919,No,No,No,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.9,Green
1926,No,Yes,Yes,49,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,Purple
1927,No,Yes,Yes,47,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.35,Purple
1928,No,Yes,Yes,31,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,Green
1934,No,No,No,3,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.1,Orange
1944,No,No,Yes,8,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.5,Green
1948,No,No,No,2,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.75,Orange
1950,No,Yes,No,65,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.85,Purple
1953,No,No,Yes,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,Orange
1954,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.45,Orange
1965,No,No,No,24,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.55,Green
1967,No,No,No,69,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),78.6,Purple
1970,No,Yes,No,7,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.1,Orange
1974,No,Yes,No,11,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,Orange
1976,Yes,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,Orange
1981,No,Yes,No,58,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.1,Purple
1984,No,Yes,Yes,14,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.9,Orange
1985,No,Yes,Yes,12,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,29.2,Green
1987,No,Yes,Yes,25,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.15,Orange
1988,Yes,Yes,No,58,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,108.85,Purple
1990,Yes,No,No,16,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.75,Orange
1993,No,Yes,Yes,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.7,Green
1995,Yes,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,Orange
1998,No,Yes,No,2,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,44.6,Green
1999,No,No,No,23,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,Orange
2003,No,No,No,57,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.25,Purple
2004,No,No,No,24,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,89.85,Orange
2005,No,Yes,Yes,49,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,100.45,Purple
2006,No,No,No,5,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,Green
2007,No,No,No,2,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.2,Orange
2008,No,No,Yes,4,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,87.1,Orange
2010,No,No,No,5,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.9,Orange
2012,No,Yes,No,47,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.75,Purple
2016,No,No,No,10,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.45,Orange
2018,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,Green
2019,No,Yes,No,67,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,104.1,Purple
2023,Yes,Yes,No,5,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.0,Orange
2029,No,Yes,No,67,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.6,Purple
2032,No,Yes,No,15,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.15,Orange
2033,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.2,Green
2038,No,Yes,Yes,26,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.8,Orange
2039,No,No,No,22,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,Orange
2048,Yes,No,No,21,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.8,Orange
2053,No,Yes,No,47,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.35,Purple
2054,No,No,No,2,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.4,Green
2057,No,Yes,No,22,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.2,Orange
2061,No,Yes,Yes,7,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,48.7,Green
2069,No,No,No,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,Orange
2070,No,No,No,49,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.75,Purple
2074,Yes,No,No,43,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,Purple
2077,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.35,Orange
2083,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.15,Green
2084,No,No,Yes,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,Orange
2085,Yes,Yes,No,32,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.2,Purple
2086,No,Yes,Yes,17,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,80.85,Orange
2087,No,No,No,4,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.65,Green
2095,No,No,No,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,Orange
2096,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.3,Green
2101,No,Yes,No,37,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,99.2,Purple
2104,No,Yes,No,8,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.2,Orange
2105,No,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,Orange
2116,No,No,No,1,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.35,Green
2124,No,Yes,No,5,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,Green
2127,No,Yes,No,40,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,42.35,Green
2129,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.3,Orange
2130,No,No,No,51,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,94.8,Purple
2133,Yes,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.55,Orange
2140,No,Yes,Yes,33,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),86.15,Purple
2155,No,Yes,No,30,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,Purple
2156,No,No,No,2,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.55,Orange
2161,No,No,No,2,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.8,Orange
2163,Yes,Yes,No,29,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,Purple
2167,Yes,Yes,No,13,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.25,Orange
2168,Yes,Yes,No,7,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.4,Orange
2175,No,No,No,30,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,85.15,Orange
2184,Yes,No,No,2,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.55,Orange
2185,No,Yes,Yes,24,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,54.75,Green
2191,Yes,No,No,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.3,Orange
2194,No,No,No,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,Orange
2202,Yes,Yes,No,7,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.1,Orange
2204,No,Yes,Yes,67,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,111.3,Purple
2206,Yes,Yes,No,57,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.25,Purple
2207,No,Yes,No,7,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.25,Orange
2208,Yes,Yes,No,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,Orange
2214,No,No,No,14,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.3,Orange
2223,No,No,No,28,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.95,Purple
2224,Yes,Yes,No,17,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,Orange
2231,No,No,No,10,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,Orange
2244,No,No,No,34,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,64.4,Orange
2246,No,Yes,Yes,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,Orange
2260,No,No,No,3,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),80.1,Orange
2262,No,No,No,2,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.2,Orange
2263,No,No,No,6,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.15,Orange
2265,No,No,No,12,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,112.95,Orange
2269,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,Orange
2270,Yes,No,No,3,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,Orange
2274,No,Yes,Yes,23,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.85,Orange
2275,No,Yes,Yes,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,Orange
2277,No,No,No,65,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.15,Purple
2281,No,No,No,16,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.2,Orange
2282,Yes,Yes,Yes,66,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.5,Purple
2283,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.55,Orange
2285,No,Yes,No,53,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,93.9,Purple
2287,Yes,Yes,No,69,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.4,Purple
2290,No,Yes,No,13,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.75,Green
2291,No,No,No,4,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,Orange
2294,No,No,No,12,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,Orange
2295,No,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.15,Green
2297,No,Yes,No,54,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,110.35,Purple
2300,No,Yes,Yes,48,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.25,Purple
2303,No,No,No,2,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,47.8,Green
2323,No,No,No,29,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.6,Purple
2324,Yes,Yes,No,15,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,83.05,Orange
2336,No,Yes,No,17,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,Orange
2337,Yes,No,No,56,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.75,Purple
2339,Yes,No,No,21,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.25,Orange
2361,No,No,Yes,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,Green
2366,Yes,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,Orange
2367,No,No,No,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.55,Orange
2378,No,Yes,No,35,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,Purple
2379,Yes,Yes,No,32,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),106.35,Purple
2393,No,Yes,Yes,33,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,103.7,Purple
2397,No,No,No,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,Orange
2405,No,Yes,Yes,8,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,Orange
2406,No,No,No,5,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.25,Orange
2407,No,Yes,No,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,Orange
2412,No,Yes,No,42,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Mailed check,33.55,Green
2415,Yes,Yes,Yes,40,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.55,Purple
2424,No,No,No,57,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.95,Purple
2427,No,No,No,1,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,35.9,Green
2428,No,No,Yes,38,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.25,Purple
2431,Yes,No,No,2,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.45,Green
2438,No,No,No,8,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.35,Orange
2442,Yes,No,No,7,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.8,Orange
2444,Yes,No,No,31,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.95,Purple
2446,No,No,No,18,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.0,Orange
2448,Yes,No,No,14,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,Orange
2451,No,Yes,Yes,28,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,106.1,Purple
2452,Yes,No,No,15,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.2,Orange
2455,No,No,No,5,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.35,Orange
2464,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,Orange
2465,No,No,No,1,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.25,Green
2468,No,Yes,No,4,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.55,Green
2471,No,Yes,No,53,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.4,Purple
2480,Yes,Yes,No,59,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.85,Purple
2483,Yes,Yes,Yes,46,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,100.7,Purple
2485,No,No,No,14,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.45,Orange
2488,No,No,No,31,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,Green
